REF_CLOSING_DESCRIPTION,ENTITY_DESCRIPTION_SHORT,ENTITY_TYPE,DEB_TIME,FIN_TIME,UPDATE_TIME,WORK_DATE
,Tivoli Gardens,PARK,2019-03-20 10:00:00.000,2019-03-20 18:00:00.000,2019-03-21 07:41:37.000,2019-03-20
,PortAventura World,PARK,2018-01-10 10:00:00.000,2018-01-10 19:00:00.000,2018-01-11 06:57:35.000,2018-01-10
,Tivoli Gardens,PARK,2019-04-15 08:30:00.000,2019-04-15 09:30:00.000,2019-04-16 08:19:24.000,2019-04-15
,PortAventura World,PARK,2022-05-16 09:30:00.000,2022-05-16 23:00:00.000,2022-05-17 08:54:23.000,2022-05-16
,PortAventura World,PARK,2020-01-18 08:30:00.000,2020-01-18 09:30:00.000,2020-01-19 07:44:25.000,2020-01-18
,Tivoli Gardens,PARK,2022-07-16 09:30:00.000,2022-07-16 20:00:00.000,2022-07-17 07:45:38.000,2022-07-16
,PortAventura World,PARK,2019-07-11 08:30:00.000,2019-07-11 09:30:00.000,2019-07-12 07:57:55.000,2019-07-11
,Tivoli Gardens,PARK,2022-06-21 09:30:00.000,2022-06-21 20:00:00.000,2022-06-22 09:12:07.000,2022-06-21
,Tivoli Gardens,PARK,2022-04-28 09:30:00.000,2022-04-28 20:00:00.000,2022-04-29 07:56:32.000,2022-04-28
,PortAventura World,PARK,2019-03-02 10:00:00.000,2019-03-02 20:00:00.000,2019-03-03 08:12:47.000,2019-03-02
,Tivoli Gardens,PARK,2018-08-22 08:30:00.000,2018-08-22 09:30:00.000,2018-08-23 07:42:27.000,2018-08-22
,PortAventura World,PARK,2018-03-09 08:30:00.000,2018-03-09 09:30:00.000,2018-03-10 09:22:49.000,2018-03-09
,PortAventura World,PARK,2019-05-19 08:30:00.000,2019-05-19 09:30:00.000,2019-05-20 07:34:13.000,2019-05-19
,PortAventura World,PARK,2018-09-01 08:30:00.000,2018-09-01 09:30:00.000,2018-09-02 08:32:07.000,2018-09-01
,Tivoli Gardens,PARK,2020-01-24 10:00:00.000,2020-01-24 18:30:00.000,2020-01-25 08:07:58.000,2020-01-24
,PortAventura World,PARK,2019-01-29 10:00:00.000,2019-01-29 18:30:00.000,2019-01-30 07:40:29.000,2019-01-29
,PortAventura World,PARK,2019-09-01 10:00:00.000,2019-09-01 22:00:00.000,2019-09-02 07:36:15.000,2019-09-01
,Tivoli Gardens,PARK,2019-10-09 10:00:00.000,2019-10-09 18:00:00.000,2019-10-10 07:39:48.000,2019-10-09
,Tivoli Gardens,PARK,2022-04-06 09:30:00.000,2022-04-06 20:00:00.000,2022-04-07 08:11:47.000,2022-04-06
,PortAventura World,PARK,2018-02-21 10:00:00.000,2018-02-21 20:00:00.000,2018-02-22 08:36:40.000,2018-02-21
,Tivoli Gardens,PARK,2019-06-23 08:30:00.000,2019-06-23 09:30:00.000,2019-06-24 07:46:14.000,2019-06-23
,Tivoli Gardens,PARK,2019-01-15 10:00:00.000,2019-01-15 18:30:00.000,2019-01-16 09:20:45.000,2019-01-15
,PortAventura World,PARK,2018-10-07 10:00:00.000,2018-10-07 21:00:00.000,2018-10-08 08:17:49.000,2018-10-07
,PortAventura World,PARK,2019-01-02 09:00:00.000,2019-01-02 22:00:00.000,2019-01-03 08:44:58.000,2019-01-02
,PortAventura World,PARK,2019-11-18 08:30:00.000,2019-11-18 09:30:00.000,2019-11-19 07:54:35.000,2019-11-18
,Tivoli Gardens,PARK,2022-07-15 08:30:00.000,2022-07-15 09:30:00.000,2022-07-16 08:11:31.000,2022-07-15
,PortAventura World,PARK,2019-03-25 10:00:00.000,2019-03-25 20:00:00.000,2019-03-26 07:41:05.000,2019-03-25
,PortAventura World,PARK,2018-04-30 10:00:00.000,2018-04-30 22:00:00.000,2018-05-01 08:41:04.000,2018-04-30
,PortAventura World,PARK,2018-01-02 09:00:00.000,2018-01-02 22:00:00.000,2018-01-03 09:38:13.000,2018-01-02
,Tivoli Gardens,PARK,2018-01-07 10:00:00.000,2018-01-07 20:00:00.000,2018-01-08 09:14:13.000,2018-01-07
,Tivoli Gardens,PARK,2019-03-15 08:30:00.000,2019-03-15 09:30:00.000,2019-03-16 07:52:30.000,2019-03-15
,Tivoli Gardens,PARK,2018-01-18 10:00:00.000,2018-01-18 19:00:00.000,2018-01-19 08:12:40.000,2018-01-18
,PortAventura World,PARK,2019-06-12 10:00:00.000,2019-06-12 23:00:00.000,2019-06-13 08:09:43.000,2019-06-12
,Tivoli Gardens,PARK,2019-02-18 10:00:00.000,2019-02-18 19:00:00.000,2019-02-19 07:46:44.000,2019-02-18
,PortAventura World,PARK,2018-11-17 09:00:00.000,2018-11-17 22:00:00.000,2018-11-18 08:18:21.000,2018-11-17
,Tivoli Gardens,PARK,2019-04-05 10:00:00.000,2019-04-05 19:00:00.000,2019-04-06 08:13:39.000,2019-04-05
,PortAventura World,PARK,2018-12-12 08:30:00.000,2018-12-12 09:30:00.000,2018-12-13 07:57:02.000,2018-12-12
,Tivoli Gardens,PARK,2020-01-10 08:30:00.000,2020-01-10 09:30:00.000,2020-01-11 08:02:36.000,2020-01-10
,Tivoli Gardens,PARK,2019-03-23 08:30:00.000,2019-03-23 09:30:00.000,2019-03-24 09:00:47.000,2019-03-23
,PortAventura World,PARK,2020-02-22 10:00:00.000,2020-02-22 21:00:00.000,2020-02-23 08:41:51.000,2020-02-22
,PortAventura World,PARK,2022-08-04 09:30:00.000,2022-08-04 23:00:00.000,2022-08-05 07:44:06.000,2022-08-04
,Tivoli Gardens,PARK,2018-12-07 10:00:00.000,2018-12-07 18:00:00.000,2018-12-08 08:31:41.000,2018-12-07
,PortAventura World,PARK,2020-02-11 10:00:00.000,2020-02-11 19:00:00.000,2020-02-12 10:20:19.000,2020-02-11
,PortAventura World,PARK,2018-07-31 10:00:00.000,2018-07-31 23:00:00.000,2018-08-01 07:39:44.000,2018-07-31
,Tivoli Gardens,PARK,2018-08-08 08:30:00.000,2018-08-08 09:30:00.000,2018-08-09 08:54:52.000,2018-08-08
,Tivoli Gardens,PARK,2019-08-31 08:30:00.000,2019-08-31 09:30:00.000,2019-09-01 07:39:50.000,2019-08-31
,Tivoli Gardens,PARK,2019-02-11 10:00:00.000,2019-02-11 19:00:00.000,2019-02-12 07:53:15.000,2019-02-11
,Tivoli Gardens,PARK,2018-11-26 10:00:00.000,2018-11-26 18:00:00.000,2018-11-27 07:42:26.000,2018-11-26
,Tivoli Gardens,PARK,2019-07-31 10:00:00.000,2019-07-31 20:00:00.000,2019-08-01 07:54:43.000,2019-07-31
,Tivoli Gardens,PARK,2019-05-14 10:00:00.000,2019-05-14 19:00:00.000,2019-05-15 07:51:12.000,2019-05-14
,PortAventura World,PARK,2019-09-07 10:00:00.000,2019-09-07 22:00:00.000,2019-09-08 08:18:30.000,2019-09-07
,Tivoli Gardens,PARK,2018-12-13 10:00:00.000,2018-12-13 18:00:00.000,2018-12-14 07:57:34.000,2018-12-13
,Tivoli Gardens,PARK,2019-11-12 08:30:00.000,2019-11-12 09:30:00.000,2019-11-13 07:39:57.000,2019-11-12
,PortAventura World,PARK,2020-02-16 10:00:00.000,2020-02-16 20:00:00.000,2020-02-17 07:27:32.000,2020-02-16
,Tivoli Gardens,PARK,2018-02-09 10:00:00.000,2018-02-09 19:30:00.000,2018-02-10 08:21:57.000,2018-02-09
,PortAventura World,PARK,2018-07-19 08:30:00.000,2018-07-19 09:30:00.000,2018-07-20 08:01:48.000,2018-07-19
,Tivoli Gardens,PARK,2022-05-27 09:30:00.000,2022-05-27 20:00:00.000,2022-05-28 08:23:29.000,2022-05-27
,PortAventura World,PARK,2022-04-29 09:30:00.000,2022-04-29 23:00:00.000,2022-04-30 09:49:21.000,2022-04-29
,PortAventura World,PARK,2020-01-14 10:00:00.000,2020-01-14 18:30:00.000,2020-01-15 08:28:11.000,2020-01-14
,PortAventura World,PARK,2019-03-10 08:30:00.000,2019-03-10 09:30:00.000,2019-03-11 07:28:30.000,2019-03-10
,Tivoli Gardens,PARK,2019-02-05 10:00:00.000,2019-02-05 19:00:00.000,2019-02-06 08:37:17.000,2019-02-05
,PortAventura World,PARK,2018-12-24 08:00:00.000,2018-12-24 09:00:00.000,2018-12-25 07:48:10.000,2018-12-24
,PortAventura World,PARK,2018-11-22 08:30:00.000,2018-11-22 09:30:00.000,2018-11-23 08:40:27.000,2018-11-22
,PortAventura World,PARK,2020-01-16 08:30:00.000,2020-01-16 09:30:00.000,2020-01-17 08:23:28.000,2020-01-16
,PortAventura World,PARK,2018-02-28 08:30:00.000,2018-02-28 09:30:00.000,2018-03-01 08:34:49.000,2018-02-28
,Tivoli Gardens,PARK,2019-04-26 10:00:00.000,2019-04-26 20:00:00.000,2019-04-27 09:27:02.000,2019-04-26
,PortAventura World,PARK,2020-01-09 08:30:00.000,2020-01-09 09:30:00.000,2020-01-10 08:03:43.000,2020-01-09
,Tivoli Gardens,PARK,2018-07-16 08:30:00.000,2018-07-16 09:30:00.000,2018-07-17 07:54:31.000,2018-07-16
,Tivoli Gardens,PARK,2019-12-29 09:00:00.000,2019-12-29 20:00:00.000,2019-12-30 07:04:02.000,2019-12-29
,Tivoli Gardens,PARK,2018-09-04 10:00:00.000,2018-09-04 18:00:00.000,2018-09-05 08:13:10.000,2018-09-04
,PortAventura World,PARK,2019-05-25 10:00:00.000,2019-05-25 23:00:00.000,2019-05-26 07:49:52.000,2019-05-25
,Tivoli Gardens,PARK,2019-03-07 10:00:00.000,2019-03-07 19:30:00.000,2019-03-08 07:42:20.000,2019-03-07
,Tivoli Gardens,PARK,2019-10-23 08:30:00.000,2019-10-23 09:30:00.000,2019-10-24 09:03:47.000,2019-10-23
,Tivoli Gardens,PARK,2019-01-04 08:00:00.000,2019-01-04 09:00:00.000,2019-01-05 08:10:13.000,2019-01-04
,PortAventura World,PARK,2018-01-01 10:00:00.000,2018-01-01 22:00:00.000,2018-01-02 07:57:06.000,2018-01-01
,PortAventura World,PARK,2022-08-10 08:30:00.000,2022-08-10 09:30:00.000,2022-08-11 07:59:19.000,2022-08-10
,Tivoli Gardens,PARK,2018-12-09 08:00:00.000,2018-12-09 09:00:00.000,2018-12-10 07:47:15.000,2018-12-09
,Tivoli Gardens,PARK,2020-01-09 08:30:00.000,2020-01-09 09:30:00.000,2020-01-10 08:03:44.000,2020-01-09
,PortAventura World,PARK,2018-03-02 10:00:00.000,2018-03-02 20:00:00.000,2018-03-03 08:08:48.000,2018-03-02
,Tivoli Gardens,PARK,2019-11-08 10:00:00.000,2019-11-08 18:00:00.000,2019-11-09 07:32:24.000,2019-11-08
,Tivoli Gardens,PARK,2019-04-28 10:00:00.000,2019-04-28 20:00:00.000,2019-04-29 07:21:57.000,2019-04-28
,PortAventura World,PARK,2018-11-23 08:30:00.000,2018-11-23 09:30:00.000,2018-11-24 07:49:00.000,2018-11-23
,PortAventura World,PARK,2022-08-07 09:30:00.000,2022-08-07 23:00:00.000,2022-08-08 07:39:51.000,2022-08-07
,PortAventura World,PARK,2018-12-25 08:00:00.000,2018-12-25 09:00:00.000,2018-12-26 07:53:33.000,2018-12-25
,Tivoli Gardens,PARK,2019-04-21 10:00:00.000,2019-04-21 20:00:00.000,2019-04-22 07:30:10.000,2019-04-21
,Tivoli Gardens,PARK,2019-02-10 10:00:00.000,2019-02-10 19:00:00.000,2019-02-11 07:33:57.000,2019-02-10
,Tivoli Gardens,PARK,2019-10-25 10:00:00.000,2019-10-25 20:00:00.000,2019-10-26 08:25:28.000,2019-10-25
,PortAventura World,PARK,2022-04-15 09:30:00.000,2022-04-15 23:00:00.000,2022-04-16 08:08:16.000,2022-04-15
,PortAventura World,PARK,2018-01-08 08:30:00.000,2018-01-08 09:30:00.000,2018-01-09 07:07:08.000,2018-01-08
,Tivoli Gardens,PARK,2020-01-25 10:00:00.000,2020-01-25 19:00:00.000,2020-01-26 07:58:32.000,2020-01-25
,PortAventura World,PARK,2019-09-24 08:30:00.000,2019-09-24 09:30:00.000,2019-09-25 07:41:41.000,2019-09-24
,Tivoli Gardens,PARK,2020-02-04 08:30:00.000,2020-02-04 09:30:00.000,2020-02-05 07:46:25.000,2020-02-04
,Tivoli Gardens,PARK,2020-01-20 08:30:00.000,2020-01-20 09:30:00.000,2020-01-21 07:38:16.000,2020-01-20
,PortAventura World,PARK,2019-12-09 10:00:00.000,2019-12-09 19:00:00.000,2019-12-10 07:45:36.000,2019-12-09
,Tivoli Gardens,PARK,2019-04-23 08:30:00.000,2019-04-23 09:30:00.000,2019-04-24 08:33:10.000,2019-04-23
,Tivoli Gardens,PARK,2019-09-29 10:00:00.000,2019-09-29 20:00:00.000,2019-09-30 07:44:50.000,2019-09-29
,Tivoli Gardens,PARK,2019-09-13 08:30:00.000,2019-09-13 09:30:00.000,2019-09-14 08:13:32.000,2019-09-13
,Tivoli Gardens,PARK,2018-10-20 10:00:00.000,2018-10-20 20:00:00.000,2018-10-21 07:15:58.000,2018-10-20
,PortAventura World,PARK,2018-07-29 10:00:00.000,2018-07-29 23:00:00.000,2018-07-30 07:20:17.000,2018-07-29
,Tivoli Gardens,PARK,2019-04-14 08:30:00.000,2019-04-14 09:30:00.000,2019-04-15 07:42:19.000,2019-04-14
,PortAventura World,PARK,2018-06-29 10:00:00.000,2018-06-29 23:00:00.000,2018-06-30 08:53:17.000,2018-06-29
,Tivoli Gardens,PARK,2019-01-03 08:00:00.000,2019-01-03 09:00:00.000,2019-01-04 08:00:16.000,2019-01-03
,PortAventura World,PARK,2019-02-22 10:00:00.000,2019-02-22 19:00:00.000,2019-02-23 07:34:51.000,2019-02-22
,Tivoli Gardens,PARK,2019-06-24 10:00:00.000,2019-06-24 19:00:00.000,2019-06-25 07:44:39.000,2019-06-24
,Tivoli Gardens,PARK,2018-11-23 08:30:00.000,2018-11-23 09:30:00.000,2018-11-24 07:49:01.000,2018-11-23
,Tivoli Gardens,PARK,2018-01-16 10:00:00.000,2018-01-16 19:00:00.000,2018-01-17 08:02:05.000,2018-01-16
,PortAventura World,PARK,2022-06-11 09:30:00.000,2022-06-11 23:00:00.000,2022-06-12 08:52:33.000,2022-06-11
,Tivoli Gardens,PARK,2022-06-13 08:30:00.000,2022-06-13 09:30:00.000,2022-06-14 10:09:00.000,2022-06-13
,Tivoli Gardens,PARK,2018-12-12 10:00:00.000,2018-12-12 18:00:00.000,2018-12-13 07:57:02.000,2018-12-12
,PortAventura World,PARK,2018-05-10 08:30:00.000,2018-05-10 09:30:00.000,2018-05-11 08:41:20.000,2018-05-10
,PortAventura World,PARK,2019-12-19 10:00:00.000,2019-12-19 18:00:00.000,2019-12-20 08:13:19.000,2019-12-19
,PortAventura World,PARK,2018-05-15 08:30:00.000,2018-05-15 09:30:00.000,2018-05-16 07:59:55.000,2018-05-15
,Tivoli Gardens,PARK,2019-01-25 10:00:00.000,2019-01-25 18:30:00.000,2019-01-26 07:44:47.000,2019-01-25
,PortAventura World,PARK,2019-07-12 08:30:00.000,2019-07-12 09:30:00.000,2019-07-13 07:21:03.000,2019-07-12
,PortAventura World,PARK,2019-08-24 10:00:00.000,2019-08-24 23:00:00.000,2019-08-25 08:21:11.000,2019-08-24
,Tivoli Gardens,PARK,2019-07-08 10:00:00.000,2019-07-08 20:00:00.000,2019-07-09 07:19:05.000,2019-07-08
,Tivoli Gardens,PARK,2019-02-26 10:00:00.000,2019-02-26 19:30:00.000,2019-02-27 08:17:58.000,2019-02-26
,Tivoli Gardens,PARK,2022-07-30 00:00:00.000,2022-07-30 00:00:00.000,2022-07-31 07:48:16.000,2022-07-30
,PortAventura World,PARK,2018-08-17 10:00:00.000,2018-08-17 23:00:00.000,2018-08-18 07:53:39.000,2018-08-17
,Tivoli Gardens,PARK,2022-07-24 00:00:00.000,2022-07-24 00:00:00.000,2022-07-25 08:15:43.000,2022-07-24
,PortAventura World,PARK,2018-01-01 08:30:00.000,2018-01-01 09:30:00.000,2018-01-02 07:57:06.000,2018-01-01
,PortAventura World,PARK,2019-10-09 10:00:00.000,2019-10-09 20:00:00.000,2019-10-10 07:39:47.000,2019-10-09
,Tivoli Gardens,PARK,2020-02-20 08:30:00.000,2020-02-20 09:30:00.000,2020-02-21 09:01:26.000,2020-02-20
,PortAventura World,PARK,2022-07-13 09:30:00.000,2022-07-13 23:00:00.000,2022-07-14 07:41:18.000,2022-07-13
,PortAventura World,PARK,2018-10-27 10:00:00.000,2018-10-27 22:00:00.000,2018-10-28 08:16:26.000,2018-10-27
,Tivoli Gardens,PARK,2018-05-19 08:30:00.000,2018-05-19 09:30:00.000,2018-05-20 07:37:35.000,2018-05-19
,PortAventura World,PARK,2018-11-23 10:00:00.000,2018-11-23 19:00:00.000,2018-11-24 07:49:00.000,2018-11-23
,PortAventura World,PARK,2018-01-14 10:00:00.000,2018-01-14 20:00:00.000,2018-01-15 08:49:37.000,2018-01-14
,Tivoli Gardens,PARK,2019-11-15 10:00:00.000,2019-11-15 18:00:00.000,2019-11-16 08:22:03.000,2019-11-15
,Tivoli Gardens,PARK,2022-06-30 09:30:00.000,2022-06-30 20:00:00.000,2022-07-01 09:18:41.000,2022-06-30
,Tivoli Gardens,PARK,2018-06-05 10:00:00.000,2018-06-05 19:00:00.000,2018-06-06 07:28:17.000,2018-06-05
,Tivoli Gardens,PARK,2022-08-11 09:30:00.000,2022-08-11 21:00:00.000,2022-08-12 10:08:19.000,2022-08-11
,Tivoli Gardens,PARK,2022-04-16 09:30:00.000,2022-04-16 20:00:00.000,2022-04-17 07:58:53.000,2022-04-16
,PortAventura World,PARK,2022-05-20 09:30:00.000,2022-05-20 23:00:00.000,2022-05-21 07:57:41.000,2022-05-20
,PortAventura World,PARK,2019-06-19 08:30:00.000,2019-06-19 09:30:00.000,2019-06-20 09:10:57.000,2019-06-19
,PortAventura World,PARK,2018-09-09 08:30:00.000,2018-09-09 09:30:00.000,2018-09-10 09:32:46.000,2018-09-09
,Tivoli Gardens,PARK,2018-07-20 08:30:00.000,2018-07-20 09:30:00.000,2018-07-21 07:45:21.000,2018-07-20
,PortAventura World,PARK,2018-11-29 08:30:00.000,2018-11-29 09:30:00.000,2018-11-30 09:15:30.000,2018-11-29
,PortAventura World,PARK,2019-08-21 08:30:00.000,2019-08-21 09:30:00.000,2019-08-22 08:39:08.000,2019-08-21
,PortAventura World,PARK,2018-10-26 08:30:00.000,2018-10-26 09:30:00.000,2018-10-27 08:08:29.000,2018-10-26
,PortAventura World,PARK,2018-05-22 10:00:00.000,2018-05-22 23:00:00.000,2018-05-23 07:45:46.000,2018-05-22
,Tivoli Gardens,PARK,2019-08-10 08:30:00.000,2019-08-10 09:30:00.000,2019-08-11 08:17:22.000,2019-08-10
,PortAventura World,PARK,2018-07-25 10:00:00.000,2018-07-25 23:00:00.000,2018-07-26 07:38:26.000,2018-07-25
,Tivoli Gardens,PARK,2018-10-04 08:30:00.000,2018-10-04 09:30:00.000,2018-10-05 07:43:43.000,2018-10-04
,PortAventura World,PARK,2018-07-21 10:00:00.000,2018-07-21 23:00:00.000,2018-07-22 07:46:27.000,2018-07-21
,Tivoli Gardens,PARK,2019-07-12 10:00:00.000,2019-07-12 20:00:00.000,2019-07-13 07:21:04.000,2019-07-12
,Tivoli Gardens,PARK,2019-10-14 10:00:00.000,2019-10-14 18:00:00.000,2019-10-15 07:41:26.000,2019-10-14
,Tivoli Gardens,PARK,2019-02-25 08:30:00.000,2019-02-25 09:30:00.000,2019-02-26 07:36:50.000,2019-02-25
,Tivoli Gardens,PARK,2022-04-03 08:30:00.000,2022-04-03 09:30:00.000,2022-04-04 08:26:04.000,2022-04-03
,PortAventura World,PARK,2020-02-20 08:30:00.000,2020-02-20 09:30:00.000,2020-02-21 09:01:25.000,2020-02-20
,PortAventura World,PARK,2018-10-26 10:00:00.000,2018-10-26 22:00:00.000,2018-10-27 08:08:29.000,2018-10-26
,Tivoli Gardens,PARK,2018-12-26 08:00:00.000,2018-12-26 09:00:00.000,2018-12-27 07:34:53.000,2018-12-26
,Tivoli Gardens,PARK,2018-12-27 08:00:00.000,2018-12-27 09:00:00.000,2018-12-28 07:35:49.000,2018-12-27
,Tivoli Gardens,PARK,2019-05-26 10:00:00.000,2019-05-26 20:00:00.000,2019-05-27 07:42:22.000,2019-05-26
,Tivoli Gardens,PARK,2019-11-22 08:30:00.000,2019-11-22 09:30:00.000,2019-11-23 08:19:18.000,2019-11-22
,Tivoli Gardens,PARK,2019-12-27 09:00:00.000,2019-12-27 20:00:00.000,2019-12-28 07:22:37.000,2019-12-27
,PortAventura World,PARK,2019-04-09 08:30:00.000,2019-04-09 09:30:00.000,2019-04-10 07:50:55.000,2019-04-09
,PortAventura World,PARK,2019-03-13 10:00:00.000,2019-03-13 19:30:00.000,2019-03-14 07:46:39.000,2019-03-13
,Tivoli Gardens,PARK,2019-07-28 08:30:00.000,2019-07-28 09:30:00.000,2019-07-29 07:54:25.000,2019-07-28
,PortAventura World,PARK,2019-08-27 10:00:00.000,2019-08-27 23:00:00.000,2019-08-28 07:43:45.000,2019-08-27
,Tivoli Gardens,PARK,2018-05-29 08:30:00.000,2018-05-29 09:30:00.000,2018-05-30 07:33:43.000,2018-05-29
,PortAventura World,PARK,2019-07-10 10:00:00.000,2019-07-10 23:00:00.000,2019-07-11 08:11:01.000,2019-07-10
,Tivoli Gardens,PARK,2018-01-09 08:30:00.000,2018-01-09 09:30:00.000,2018-01-10 06:57:48.000,2018-01-09
,Tivoli Gardens,PARK,2018-09-01 08:30:00.000,2018-09-01 09:30:00.000,2018-09-02 08:32:08.000,2018-09-01
,PortAventura World,PARK,2019-09-11 08:30:00.000,2019-09-11 09:30:00.000,2019-09-12 09:09:13.000,2019-09-11
,PortAventura World,PARK,2018-11-02 10:00:00.000,2018-11-02 22:00:00.000,2018-11-03 07:59:51.000,2018-11-02
,PortAventura World,PARK,2019-11-04 10:00:00.000,2019-11-04 19:00:00.000,2019-11-05 08:11:36.000,2019-11-04
,Tivoli Gardens,PARK,2019-12-03 08:30:00.000,2019-12-03 09:30:00.000,2019-12-04 08:14:15.000,2019-12-03
,PortAventura World,PARK,2019-02-20 10:00:00.000,2019-02-20 19:00:00.000,2019-02-21 08:16:05.000,2019-02-20
,Tivoli Gardens,PARK,2019-12-14 09:00:00.000,2019-12-14 20:00:00.000,2019-12-15 08:33:51.000,2019-12-14
,PortAventura World,PARK,2022-08-13 08:30:00.000,2022-08-13 09:30:00.000,2022-08-14 07:30:52.000,2022-08-13
,Tivoli Gardens,PARK,2018-05-09 10:00:00.000,2018-05-09 20:00:00.000,2018-05-10 07:42:52.000,2018-05-09
,PortAventura World,PARK,2018-08-16 08:30:00.000,2018-08-16 09:30:00.000,2018-08-17 08:09:02.000,2018-08-16
,Tivoli Gardens,PARK,2018-05-11 10:00:00.000,2018-05-11 20:00:00.000,2018-05-12 08:56:21.000,2018-05-11
,Tivoli Gardens,PARK,2018-04-22 10:00:00.000,2018-04-22 20:00:00.000,2018-04-23 07:51:32.000,2018-04-22
,PortAventura World,PARK,2018-01-02 08:00:00.000,2018-01-02 09:00:00.000,2018-01-03 09:38:13.000,2018-01-02
,PortAventura World,PARK,2018-08-20 08:30:00.000,2018-08-20 09:30:00.000,2018-08-21 08:22:14.000,2018-08-20
,PortAventura World,PARK,2018-03-26 08:30:00.000,2018-03-26 09:30:00.000,2018-03-27 08:04:59.000,2018-03-26
,PortAventura World,PARK,2019-11-16 10:00:00.000,2019-11-16 22:00:00.000,2019-11-17 08:07:49.000,2019-11-16
,PortAventura World,PARK,2019-02-20 08:30:00.000,2019-02-20 09:30:00.000,2019-02-21 08:16:05.000,2019-02-20
,Tivoli Gardens,PARK,2019-12-04 08:30:00.000,2019-12-04 09:30:00.000,2019-12-05 08:14:37.000,2019-12-04
,PortAventura World,PARK,2019-09-29 08:30:00.000,2019-09-29 09:30:00.000,2019-09-30 07:44:48.000,2019-09-29
,Tivoli Gardens,PARK,2022-08-01 09:30:00.000,2022-08-01 21:00:00.000,2022-08-02 07:50:45.000,2022-08-01
,PortAventura World,PARK,2018-09-14 10:00:00.000,2018-09-14 21:00:00.000,2018-09-15 08:47:55.000,2018-09-14
,Tivoli Gardens,PARK,2022-06-02 08:30:00.000,2022-06-02 09:30:00.000,2022-06-03 07:58:04.000,2022-06-02
,Tivoli Gardens,PARK,2018-08-30 08:30:00.000,2018-08-30 09:30:00.000,2018-08-31 08:29:35.000,2018-08-30
,Tivoli Gardens,PARK,2019-05-21 08:30:00.000,2019-05-21 09:30:00.000,2019-05-22 07:41:16.000,2019-05-21
,PortAventura World,PARK,2018-02-17 10:00:00.000,2018-02-17 22:00:00.000,2018-02-18 08:50:31.000,2018-02-17
,Tivoli Gardens,PARK,2018-06-28 08:30:00.000,2018-06-28 09:30:00.000,2018-06-29 09:11:51.000,2018-06-28
,Tivoli Gardens,PARK,2019-10-03 10:00:00.000,2019-10-03 18:00:00.000,2019-10-04 07:41:49.000,2019-10-03
,Tivoli Gardens,PARK,2018-07-13 08:30:00.000,2018-07-13 09:30:00.000,2018-07-14 08:04:07.000,2018-07-13
,Tivoli Gardens,PARK,2020-02-01 10:00:00.000,2020-02-01 19:00:00.000,2020-02-02 07:55:41.000,2020-02-01
,PortAventura World,PARK,2019-05-17 08:30:00.000,2019-05-17 09:30:00.000,2019-05-18 07:40:39.000,2019-05-17
,Tivoli Gardens,PARK,2018-02-28 10:00:00.000,2018-02-28 20:00:00.000,2018-03-01 08:34:49.000,2018-02-28
,PortAventura World,PARK,2019-01-18 10:00:00.000,2019-01-18 18:30:00.000,2019-01-19 09:09:31.000,2019-01-18
,PortAventura World,PARK,2019-04-27 10:00:00.000,2019-04-27 22:00:00.000,2019-04-28 07:48:21.000,2019-04-27
,PortAventura World,PARK,2019-08-05 10:00:00.000,2019-08-05 23:00:00.000,2019-08-06 07:40:37.000,2019-08-05
,PortAventura World,PARK,2019-02-12 08:30:00.000,2019-02-12 09:30:00.000,2019-02-13 07:35:22.000,2019-02-12
,Tivoli Gardens,PARK,2018-10-08 08:30:00.000,2018-10-08 09:30:00.000,2018-10-09 08:45:18.000,2018-10-08
,Tivoli Gardens,PARK,2018-01-04 08:00:00.000,2018-01-04 09:30:00.000,2018-01-05 08:03:27.000,2018-01-04
,Tivoli Gardens,PARK,2018-12-25 09:00:00.000,2018-12-25 20:00:00.000,2018-12-26 07:53:35.000,2018-12-25
,PortAventura World,PARK,2018-06-16 08:30:00.000,2018-06-16 09:30:00.000,2018-06-17 07:41:01.000,2018-06-16
,Tivoli Gardens,PARK,2019-12-03 10:00:00.000,2019-12-03 18:00:00.000,2019-12-04 08:14:15.000,2019-12-03
,Tivoli Gardens,PARK,2019-10-11 10:00:00.000,2019-10-11 18:00:00.000,2019-10-12 07:37:48.000,2019-10-11
,Tivoli Gardens,PARK,2018-11-10 08:30:00.000,2018-11-10 09:30:00.000,2018-11-11 08:21:49.000,2018-11-10
,PortAventura World,PARK,2019-03-31 08:30:00.000,2019-03-31 09:30:00.000,2019-04-01 07:26:14.000,2019-03-31
,PortAventura World,PARK,2019-09-18 08:30:00.000,2019-09-18 09:30:00.000,2019-09-19 07:41:19.000,2019-09-18
,PortAventura World,PARK,2018-10-27 08:30:00.000,2018-10-27 09:30:00.000,2018-10-28 08:16:26.000,2018-10-27
,PortAventura World,PARK,2019-10-30 08:30:00.000,2019-10-30 09:30:00.000,2019-10-31 08:05:19.000,2019-10-30
,Tivoli Gardens,PARK,2018-06-16 10:00:00.000,2018-06-16 20:00:00.000,2018-06-17 07:41:04.000,2018-06-16
,PortAventura World,PARK,2019-03-12 08:30:00.000,2019-03-12 09:30:00.000,2019-03-13 07:31:51.000,2019-03-12
,PortAventura World,PARK,2018-06-28 08:30:00.000,2018-06-28 09:30:00.000,2018-06-29 09:11:50.000,2018-06-28
